,Game Title,Game Category,Game Score,Number of Reviews,Price,Number of Installs,Developer,Play Store URL,Total Download Revenue ($)
0,Grand Theft Auto: San Andreas,GAME_ACTION,4.3,387897,6.99,1000000,Rockstar Games,https://play.google.com/store/apps/details?id=com.rockstargames.gtasa,6990000.0
1,Five Nights at Freddy's,GAME_ACTION,4.6,103826,2.99,1000000,Scott Cawthon,https://play.google.com/store/apps/details?id=com.scottgames.fivenightsatfreddys,2990000.0
2,Five Nights at Freddy's: SL,GAME_ACTION,4.5,17369,2.99,100000,Scott Cawthon,https://play.google.com/store/apps/details?id=com.scottgames.sisterlocation,299000.0
3,Hitman Sniper,GAME_ACTION,4.6,592148,0.99,10000000,SQUARE ENIX Ltd,https://play.google.com/store/apps/details?id=com.squareenixmontreal.hitmansniperandroid,9900000.0
4,Assassin's Creed Identity,GAME_ACTION,3.8,50021,1.99,500000,Ubisoft Entertainment,https://play.google.com/store/apps/details?id=com.ubisoft.assassinscreed.identity,995000.0
5,Five Nights at Freddy's 4,GAME_ACTION,4.6,21580,2.99,100000,Scott Cawthon,https://play.google.com/store/apps/details?id=com.scottgames.fnaf4,299000.0
6,Space Marshals,GAME_ACTION,4.8,7931,0.99,50000,Pixelbite,https://play.google.com/store/apps/details?id=com.pixelbite.sg,49500.0
7,Call of Duty:Black Ops Zombies,GAME_ACTION,4.2,14006,6.99,100000,"Activision Publishing, Inc.",https://play.google.com/store/apps/details?id=com.activision.boz,699000.0
8,Grand Theft Auto III,GAME_ACTION,4.0,96670,4.99,1000000,Rockstar Games,https://play.google.com/store/apps/details?id=com.rockstar.gta3,4990000.0
9,truTV Impractical Jokers Wheel of Doom,GAME_ACTION,4.3,170,2.99,5000,truTVnetwork,https://play.google.com/store/apps/details?id=com.turner.trutv.wheelofdoom,14950.000000000002
10,Teen Titans GO Figure!,GAME_ACTION,4.5,4578,3.99,50000,Cartoon Network,https://play.google.com/store/apps/details?id=com.turner.ttgfigures2,199500.0
11,Real Steel,GAME_ACTION,4.1,26201,0.99,500000,Reliance Big Entertainment (UK) Private Limited,https://play.google.com/store/apps/details?id=com.jumpgames.RealSteel,495000.0
12,Five Nights at Freddy's 3,GAME_ACTION,4.7,28214,2.99,100000,Scott Cawthon,https://play.google.com/store/apps/details?id=com.scottgames.fnaf3,299000.0
